sn,ring_completed,defect_magnitude,defect_area,Pitch_high,Pitch_low,PV,sharpness_drop_rate,std_full,std_inner,std_outer,inner_rings,inner_PV,outer_rings,outer_PV,mtf_drop_10,mtf_drop_20,mtf_drop_30
AAA310100257QMB1K,0.449555556,0.047970697,104,22.47058824,34.27272727,0.01348694,0.40557376,0.04,0.06,0.043,2,0.15,4,0.15,18.14,24.67,56.44
AAA310100258QMB1K,0.414333333,0.043336723,93,11.84375,32.90909091,0.015112372,0.39788413,0.041,0.075,0.046,2,0.29,4,0.29,16.49,22.65,54.8
AAA310100352QMB1K,0.465222222,0.064660529,78,20.68421053,27.23076923,0.024806008,0.5544673,0.072,0.057,0.057,1,0.2,4,0.2,21.5,37.51,64.64
AAA310100353QMB1K,0.533777778,0.091997622,105,26.71428571,26.71428571,0.027273098,0.5493451,0.08,0.048,0.073,3,0.1,5,0.15,22.34,37.41,64.87
AAA310100354QMB1K,0.471222222,0.049283292,57,18.57142857,25.06666667,0.023700609,0.46342868,0.069,0.037,0.044,1,0.15,3,0.15,11.39,42.66,68.2
AAA310100355QMB1K,0.452444444,0.053300033,8,19.73684211,25,0.023015956,0.5002534,0.062,0.042,0.042,2,0.11,4,0.11,16.14,44.34,69.02
AAA310100356QMB1K,0.446444444,0.067597729,56,21.73684211,26.33333333,0.023802452,0.49531114,0.071,0.053,0.054,1,0.16,3,0.16,14.34,40.38,67.76
AAA310100357QMB1K,0.443111111,0.037728054,47,21.89473684,31,0.010549567,0.4922188,0.04,0.019,0.028,1,0.04,3,0.06,15.71,41.58,68.41
AAA310100358QMB1K,0.678777778,0.062030316,8,17.36363636,27.28571429,0.021344719,0.47358644,0.062,0.05,0.065,1,0.14,4,0.14,14.34,37.86,64.73
AAA310100359QMB1K,0.638555556,0.044087397,10,19.57894737,40.11111111,0.01938936,0.45702872,0.056,0.045,0.055,1,0.13,3,0.13,14.49,40.57,66.91
AAA310100360QMB1K,0.519777778,0.055657,6,20.65,31.76923077,0.020213731,0.48032072,0.051,0.039,0.039,1,0.13,4,0.13,15.44,39.32,68.45
AAA310100361QMB1K,0.571888889,0.217019424,133,26.66666667,35.45454545,0.039718813,0.5850945,0.143,0.055,0.107,2,0.18,3,0.18,19.99,50.89,67.05
AAA310100362QMB1K,0.658444444,0.065287006,69,29.46153846,47.875,0.030207722,0.56431293,0.107,0.06,0.09,1,0.24,2,0.27,16.5,43.6,65.99
AAA310100363QMB1K,0.723777778,0.09354151,13,28.1875,35.63636364,0.035356569,0.54667467,0.127,0.137,0.096,2,0.6,3,0.6,19.49,44.4,67.13
AAA310100364QMB1K,0.723777778,0.09354151,13,28.1875,35.63636364,0.035356569,0.55832905,0.127,0.137,0.096,2,0.6,3,0.6,20.09,46.52,69.84
AAA310100365QMB1K,0.534555556,0.148014448,133,25,38.66666667,0.031460488,0.55053496,0.106,0.054,0.081,2,0.19,3,0.19,22.71,44.77,68.44
AAA310100366QMB1K,0.594888889,0.154793332,140,29.92307692,35.36363636,0.033666212,0.5708794,0.116,0.041,0.067,1,0.2,4,0.2,17.91,45.44,67.82
AAA310100367QMB1K,0.600444444,0.122307804,90,28.92857143,33.8,0.032584739,0.5302803,0.113,0.056,0.113,1,0.21,3,0.27,18.59,32.7,53.73
AAA310100368QMB1K,0.539333333,0.093717977,88,23.17647059,37.2,0.030826099,0.51885986,0.105,0.046,0.103,2,0.14,4,0.16,15.36,30.83,52.87
AAA310100369QMB1K,0.861333333,0.134133081,15,19.39130435,26.75,0.031573268,0.5035686,0.116,0.238,0.138,1,1.4,3,1.4,18.09,32.64,56.71
AAA310100370QMB1K,0.849888889,0.1761301,14,28.57142857,34.81818182,0.035003454,0.4895493,0.121,0.253,0.144,1,1.25,3,1.25,18.17,35.04,57.86
AAA310100371QMB1K,0.865333333,0.149256975,14,15.2,25.42857143,0.034815696,0.5140626,0.119,0.236,0.145,1,2.2,3,2.2,22.67,36.18,58.44
AAA310100372QMB1K,0.516444444,0.132202372,132,23.05882353,31.81818182,0.02745002,0.5125428,0.092,0.045,0.074,2,0.18,4,0.2,13.55,31.53,55.92
AAA310100373QMB1K,0.776555556,0.102877073,12,22.64705882,35,0.032842208,0.5558899,0.117,0.149,0.12,1,0.43,2,0.43,17.25,43.79,67.46
AAA310100374QMB1K,0.962555556,0.193601351,14,24.16666667,35.16666667,0.033727898,0.5120846,0.139,0.332,0.167,1,2.31,3,2.31,18.25,42.04,69.68
AAA310100375QMB1K,0.656888889,0.041775932,13,19.3,25.73333333,0.025617671,0.53710127,0.084,0.037,0.043,1,0.16,3,0.16,16.83,40.91,67.55
AAA310100376QMB1K,0.443333333,0.07691064,131,17.72727273,32.09090909,0.02325835,0.5361209,0.068,0.028,0.034,2,0.14,4,0.14,14.47,42.84,67.59
AAA310100377QMB1K,0.499888889,0.058988941,11,14.7037037,25.2,0.024559262,0.5784055,0.071,0.041,0.047,1,0.19,4,0.19,19.16,40.01,65.98
AAA310100378QMB1K,0.402333333,0.067391237,179,13.06451613,26.21428571,0.02193781,0.5083027,0.063,0.034,0.042,2,0.14,4,0.14,15.27,39.18,67.23
AAA310100379QMB1K,0.675444444,0.072736109,13,26.33333333,28.58333333,0.029666781,0.5632047,0.092,0.062,0.066,1,0.3,3,0.3,19.03,40.05,65.83
AAA310100380QMB1K,0.826111111,0.173397092,11,23.05263158,29,0.028364274,0.5726966,0.095,0.237,0.119,1,1.02,4,1.02,18.17,42.48,65.91
AAA310100381QMB1K,0.860111111,0.103834552,14,24.17647059,37.36363636,0.026869577,0.5942027,0.089,0.175,0.094,1,1.46,3,1.46,20.06,41.65,65.59
AAA310100382QMB1K,0.440444444,0.087371343,181,17.33333333,21.82352941,0.025210522,0.5600151,0.077,0.042,0.046,3,0.17,5,0.17,18.96,43.1,68.02
AAA310100383QMB1K,0.860111111,0.103834552,14,24.17647059,37.36363636,0.026869577,0.54446924,0.089,0.175,0.094,1,1.46,3,1.46,21.08,45.74,71.41
AAA310100384QMB1K,0.628555556,0.058984324,11,20.41176471,29.72727273,0.027690874,0.54817164,0.088,0.066,0.099,1,0.15,4,0.15,17.76,47.15,69.4
AAA310100385QMB1K,0.891444444,0.129014615,15,21.55555556,30.25,0.024660093,0.54430014,0.087,0.215,0.121,1,0.6,3,0.6,18.89,48.47,70.95
AAA310100386QMB1K,0.873,0.140628169,13,24.5,30.61538462,0.030838629,0.5380286,0.116,0.223,0.138,1,1.16,3,1.16,16.93,44.44,67.81
AAA310100387QMB1K,0.538777778,0.153246079,124,20.22222222,32.5,0.036635865,0.58640146,0.131,0.073,0.105,1,0.14,3,0.14,21.85,44.49,68.32
AAA310100388QMB1K,0.583333333,0.058028155,20,17.9,31.45454545,0.032762399,0.5441268,0.107,0.067,0.073,1,0.14,4,0.14,15.85,49.66,69.71
AAA310100389QMB1K,0.574,0.133453036,135,26.15384615,28.33333333,0.029683572,0.52672035,0.104,0.088,0.086,1,0.14,3,0.2,9.73,32.55,59.88
AAA310100390QMB1K,0.805222222,0.286281198,14,26.5,33.41666667,0.030148221,0.54398334,0.125,0.361,0.171,1,2.46,3,2.46,5.26,29.37,57.68
AAA310100391QMB1K,0.610888889,0.1500606,121,23.75,29.25,0.030229161,0.5101857,0.103,0.075,0.07,3,0.23,4,0.27,11.34,15.1,28.93
AAA310100392QMB1K,0.707444444,0.063346123,16,20.44444444,32.72727273,0.02852187,0.57732713,0.085,0.082,0.069,1,0.17,3,0.17,12.85,13.03,30.13
AAA310100393QMB1K,0.742222222,0.082111884,15,21.41176471,29.5,0.025473554,0.4978095,0.081,0.132,0.08,1,0.48,3,0.48,9.95,12.13,30.42
AAA310100394QMB1K,0.597666667,0.092239902,13,20.47619048,23.05555556,0.037710964,0.47481686,0.126,0.123,0.168,3,0.22,5,0.26,9.86,19.79,33.84
AAA310100395QMB1K,0.809777778,0.083086479,16,20.52380952,26,0.034185527,0.5555287,0.123,0.205,0.11,1,0.4,2,0.4,8.96,10.78,30.58
AAA310100415QMB1K,0.319,0.059634958,194,14.05882353,23.9,0.02281806,0.5322237,0.07,0.068,0.096,2,0.09,4,0.14,17.32,36.75,63.51
AAA310100416QMB1K,0.382555556,0.058090679,54,11.575,18.13043478,0.023774481,0.52390796,0.07,0.046,0.064,2,0.08,4,0.1,19.37,36.24,65.88
AAA310100417QMB1K,0.445333333,0.04433388,0,11.64102564,18.72727273,0.01797127,0.47832462,0.051,0.073,0.054,1,0.09,4,0.09,14.83,33.27,64.11
AAA310100418QMB1K,0.454111111,0.120228914,91,12.97297297,23.78947368,0.026528505,0.48268867,0.08,0.049,0.096,3,0.09,5,0.18,16.82,38.58,67.67
AAA310100421QMB1K,0.533222222,0.058621937,34,11.97368421,21.65,0.0203409,0.48709926,0.059,0.069,0.061,2,0.2,5,0.2,15.11,34.72,63.97
AAA310100422QMB1K,0.452,0.060960783,17,11.59459459,21.63157895,0.019413637,0.47039193,0.057,0.087,0.053,4,0.09,6,0.09,14.8,36.32,66.06
AAA310100425QMB1K,0.524888889,0.058563036,25,14.74193548,21.55,0.020371872,0.4422265,0.069,0.047,0.057,2,0.14,3,0.14,14.18,37.4,65.68
AAA310100426QMB1K,0.660666667,0.071926632,23,15.68965517,28.1875,0.022760598,0.50414973,0.085,0.062,0.07,1,0.12,2,0.14,16.73,36.66,68.33
AAA310100427QMB1K,0.386111111,0.07476944,185,10.97435897,20.8,0.030689749,0.51291263,0.087,0.106,0.128,3,0.18,7,0.27,17.2,33.15,61.68
AAA310100428QMB1K,0.529555556,0.117938299,0,11.92105263,22.4,0.02729134,0.4953849,0.072,0.075,0.083,3,0.18,4,0.24,16.41,28.54,58.03
AAA310100429QMB1K,0.366888889,0.070282278,146,13.72727273,18,0.040086486,0.47695857,0.161,0.43,0.533,2,1.59,9,3.59,3.06,17.08,40.44
AAA310100430QMB1K,0.181,0.069633162,136,10.15909091,13.84375,0.044615485,0.4590337,0.151,0.47,0.487,3,1.9,10,3.61,-14.6,3.23,26.42
AAA310100495QMB1K,0.386555556,0.105672587,201,11.76315789,16.73076923,0.061725299,0.40080872,0.202,0.234,0.298,2,0.27,7,0.54,8.04,21.35,47.52
AAA310100496QMB1K,0.433555556,0.141742638,213,10.46341463,11.69444444,0.096555137,0.41709182,0.329,0.261,0.29,1,0.94,7,0.99,13.56,19.49,49.07
AAA310100534QMB1K,0.377888889,0.077491498,111,14.21428571,18.09090909,0.032572275,0.47961083,0.11,0.333,0.194,7,2.01,9,2.01,-29.68,-22.15,11.1
AAA310100535QMB1K,0.417888889,0.054718283,39,24.17647059,36.90909091,0.018128113,0.24353874,0.077,0.127,0.071,3,3.25,4,3.25,-40.57,-29.42,7.02
AAA310100536QMB1K,0.404222222,0.059680843,118,20.52631579,38.88888889,0.015670947,0.23034772,0.072,0.071,0.049,1,0.08,2,0.09,1.65,7.07,49.61
AAA310100675QMB1K,0.338,0.037631791,129,21.85714286,43.75,0.012084664,0.20361568,0.032,0.031,0.029,0,0.04,1,0.05,7.54,23.27,66.91
AAA310100676QMB1K,0.297333333,0.039081966,108,17.16,31.84615385,0.012454214,0.1868819,0.034,0.042,0.029,1,0.05,3,0.06,6.97,20.49,67.37
AAA310100677QMB1K,0.241777778,0.044959433,211,11.54054054,20.94736842,0.012162718,0.25599635,0.032,0.027,0.024,2,0.04,3,0.04,7.07,21.66,65.76
AAA310100698QMB1K,0.363111111,0.042457979,49,13.5,26.26666667,0.021816767,0.17867152,0.058,0.028,0.036,0,0.03,3,0.05,0.14,15.39,66.53
